timestamp,value,is_anomaly
1533661800,84,0
1533662100,96,0
1533662400,69,0
1533662700,74,0
1533663000,99,0
1533663300,74,0
1533663600,55,0
1533663900,57,0
1533664200,66,0
1533664500,56,0
1533664800,52,0
1533665100,47,0
1533665400,41,0
1533665700,41,0
1533666000,35,0
1533666300,42,0
1533666600,56,0
1533666900,45,0
1533667200,42,0
1533667500,31,0
1533667800,21,0
1533668100,43,0
1533668400,46,0
1533668700,42,0
1533669000,40,0
1533669300,24,0
1533669600,36,0
1533669900,18,0
1533670200,42,0
1533670500,40,0
1533670800,27,0
1533671100,24,0
1533671400,35,0
1533671700,26,0
1533672000,33,0
1533672300,25,0
1533672600,21,0
1533672900,25,0
1533673200,30,0
1533673500,41,0
1533673800,32,0
1533674100,28,0
1533674400,47,0
1533674700,28,0
1533675000,25,0
1533675300,56,0
1533675600,44,0
1533675900,43,0
1533676200,54,0
1533676500,37,0
1533676800,56,0
1533677100,40,0
1533677400,58,0
1533677700,63,0
1533678000,66,0
1533678300,71,0
1533678600,82,0
1533678900,91,0
1533679200,79,0
1533679500,103,0
1533679800,118,0
1533680100,116,0
1533680400,150,0
1533680700,156,0
1533681000,164,0
1533681300,182,0
1533681600,155,0
1533681900,156,0
1533682200,164,0
1533682500,151,0
1533682800,191,0
1533683100,210,0
1533683400,240,0
1533683700,231,0
1533684000,211,0
1533684300,268,0
1533684600,238,0
1533684900,218,0
1533685200,242,0
1533685500,237,0
1533685800,280,0
1533686100,281,0
1533686400,291,0
1533686700,281,0
1533687000,255,0
1533687300,290,0
1533687600,347,0
1533687900,283,0
1533688200,367,0
1533688500,301,0
1533688800,330,0
1533689100,347,0
1533689400,381,0
1533689700,386,0
1533690000,333,0
1533690300,403,0
1533690600,386,0
1533690900,361,0
1533691200,409,0
1533691500,404,0
1533691800,404,0
1533692100,396,0
1533692400,380,0
1533692700,368,0
1533693000,376,0
1533693300,441,0
1533693600,422,0
1533693900,411,0
1533694200,436,0
1533694500,430,0
1533694800,444,0
1533695100,446,0
1533695400,471,0
1533695700,481,0
1533696000,480,0
1533696300,448,0
1533696600,425,0
1533696900,439,0
1533697200,450,0
1533697500,496,0
1533697800,433,0
1533698100,443,0
1533698400,482,0
1533698700,439,0
1533699000,460,0
1533699300,504,0
1533699600,428,0
1533699900,523,0
1533700200,531,0
1533700500,540,0
1533700800,530,0
1533701100,503,0
1533701400,527,0
1533701700,515,0
1533702000,538,0
1533702300,547,0
1533702600,529,0
1533702900,538,0
1533703200,546,0
1533703500,525,0
1533703800,531,0
1533704100,470,0
1533704400,508,0
1533704700,566,0
1533705000,444,0
1533705300,507,0
1533705600,507,0
1533705900,599,0
1533706200,531,0
1533706500,488,0
1533706800,524,0
1533707100,430,0
1533707400,469,0
1533707700,458,0
1533708000,494,0
1533708300,460,0
1533708600,538,0
1533708900,517,0
1533709200,495,0
1533709500,483,0
1533709800,472,0
1533710100,461,0
1533710400,564,0
1533710700,438,0
1533711000,470,0
1533711300,439,0
1533711600,478,0
1533711900,517,0
1533712200,450,0
1533712500,512,0
1533712800,533,0
1533713100,540,0
1533713400,525,0
1533713700,496,0
1533714000,511,0
1533714300,558,0
1533714600,502,0
