timestamp,value
1533561900,1035
1533562200,1084
1533562500,1058
1533562800,1010
1533563100,1058
1533563400,929
1533563700,1108
1533564000,1309
1533564300,1016
1533564600,984
1533564900,949
1533565200,912
1533565500,963
1533565800,906
1533566100,782
1533566400,783
1533566700,768
1533567000,743
1533567300,700
1533567600,660
1533567900,683
1533568200,587
1533568500,579
1533568800,584
1533569100,558
1533569400,475
1533569700,529
1533570000,525
1533570300,474
1533570600,422
1533570900,375
1533571200,123
1533571500,89
1533571800,97
1533572100,103
1533572400,80
1533572700,92
1533573000,84
1533573300,63
1533573600,87
1533573900,87
1533574200,82
1533574500,73
1533574800,79
1533575100,65
1533575400,81
1533575700,63
1533576000,93
1533576300,80
1533576600,74
1533576900,62
1533577200,71
1533577500,74
1533577800,52
1533578100,50
1533578400,59
1533578700,55
1533579000,67
1533579300,56
1533579600,45
1533579900,39
1533580200,54
1533580500,50
1533580800,37
1533581100,46
1533581400,40
1533581700,43
1533582000,36
1533582300,48
1533582600,29
1533582900,34
1533583200,25
1533583500,30
1533583800,35
1533584100,45
1533584400,22
1533584700,31
1533585000,27
1533585300,26
1533585600,18
1533585900,22
1533586200,22
1533586500,42
1533586800,19
1533587100,36
1533587400,39
1533587700,44
1533588000,28
1533588300,32
1533588600,35
1533588900,39
1533589200,19
1533589500,43
1533589800,49
1533590100,44
1533590400,51
1533590700,55
1533591000,77
1533591300,65
1533591600,88
1533591900,60
1533592200,64
1533592500,82
1533592800,117
1533593100,106
1533593400,108
1533593700,135
1533594000,78
1533594300,150
1533594600,125
1533594900,182
1533595200,185
1533595500,176
1533595800,195
1533596100,195
1533596400,194
1533596700,183
1533597000,248
1533597300,184
1533597600,231
1533597900,231
1533598200,218
1533598500,273
1533598800,270
1533599100,251
1533599400,254
1533599700,273
1533600000,275
1533600300,330
1533600600,282
1533600900,311
1533601200,358
1533601500,334
1533601800,352
1533602100,262
1533602400,305
1533602700,329
1533603000,368
1533603300,355
1533603600,362
1533603900,309
1533604200,348
1533604500,364
1533604800,361
1533605100,366
1533605400,417
1533605700,368
1533606000,374
1533606300,456
1533606600,423
1533606900,389
1533607200,388
1533607500,385
1533607800,448
1533608100,381
1533608400,367
1533608700,488
1533609000,444
1533609300,401
1533609600,424
1533609900,454
1533610200,447
1533610500,430
1533610800,454
1533611100,417
1533611400,459
1533611700,521
1533612000,479
1533612300,459
1533612600,490
1533612900,419
1533613200,504
1533613500,497
1533613800,508
1533614100,498
1533614400,559
1533614700,524
1533615000,564
1533615300,515
1533615600,552
1533615900,579
1533616200,531
1533616500,505
1533616800,526
1533617100,510
1533617400,523
1533617700,550
1533618000,497
1533618300,480
1533618600,473
1533618900,523
1533619200,456
1533619500,567
1533619800,473
1533620100,526
1533620400,443
1533620700,520
1533621000,538
1533621300,502
1533621600,466
1533621900,514
1533622200,526
1533622500,482
1533622800,430
1533623100,460
1533623400,444
1533623700,433
1533624000,453
1533624300,481
1533624600,442
1533624900,452
1533625200,490
1533625500,463
1533625800,495
1533626100,498
1533626400,575
1533626700,504
1533627000,556
1533627300,503
1533627600,526
1533627900,569
1533628200,510
1533628500,581
1533628800,538
1533629100,514
1533629400,564
1533629700,559
1533630000,551
1533630300,594
1533630600,555
1533630900,645
1533631200,511
1533631500,561
1533631800,602
1533632100,513
1533632400,551
1533632700,639
1533633000,614
1533633300,621
1533633600,629
1533633900,598
1533634200,760
1533634500,658
1533634800,695
1533635100,670
1533635400,721
1533635700,652
1533636000,653
1533636300,740
1533636600,696
1533636900,701
1533637200,712
1533637500,766
1533637800,648
1533638100,760
1533638400,771
1533638700,778
1533639000,737
1533639300,789
1533639600,754
1533639900,786
1533640200,862
1533640500,882
1533640800,930
1533641100,915
1533641400,916
1533641700,963
1533642000,936
1533642300,935
1533642600,939
1533642900,1009
